Address,Content,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,% of Total,Outlinks,Unique Outlinks,External Outlinks,Unique External Outlinks,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,URL Encoded Address
https://www.glocify.com/,text/html; charset=UTF-8,200,OK,Indexable,,Your Idea Our Technology - Glocify Technologies,47,433,"Presenting high-end solutions for: IT Consulting, software, web and mobile app development, digital marketing with thousands of happy clients worldwide.",152,961,,0,YOUR IDEA OUR TECHNOLOGY,24,,0,Top,3,Research,8,,,,,,,,,83838,1783,14.551051,0,,192,131,100,139,78,10,5,c22c0d2443a27dee946912744f7e6fa1,0.364,,,,https://www.glocify.com/
https://www.glocify.com/hire/html5,text/html; charset=UTF-8,200,OK,Indexable,,Hire HTML5 Developers - Glocify Technologies,44,411,Build a strong visible online presence by building an attractive website by hiring our skilled and professional HTML5 Developers.,129,804,,0,Hire HTML5 Developers,21,,0,Top,3,Get in touch,12,,,,,,,,,36706,547,10.661835,1,,94,84,64.12,66,47,10,5,f1e65f4d05ecffec098c28e193dd6f39,0.299,,,,https://www.glocify.com/hire/html5
https://www.glocify.com/assets/img/icons/android.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,1235,0,0,1,,0,0,0,0,0,0,0,,0.286,"Tue, 31 Jul 2018 05:53:15 GMT",,,https://www.glocify.com/assets/img/icons/android.png
https://www.glocify.com/assets/img/icons/seo.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,1085,0,0,1,,0,0,0,0,0,0,0,,1.159,"Tue, 31 Jul 2018 05:53:14 GMT",,,https://www.glocify.com/assets/img/icons/seo.png
https://www.glocify.com/assets/img/icons/iphone.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,463,0,0,1,,0,0,0,0,0,0,0,,1.2,"Tue, 31 Jul 2018 05:51:33 GMT",,,https://www.glocify.com/assets/img/icons/iphone.png
https://www.glocify.com/services/maintenance-and-support,text/html; charset=UTF-8,200,OK,Indexable,,Maintenance and Support Services - Glocify Technologies,55,506,Technology-driven full-cycle software support and maintenance services for ensuring continuous optimization of the software system.,131,835,,0,Maintenance and Support,23,,0,Top,3,With our application support and software maintenance service you get,69,,,,,,,,,40674,737,12.818117,1,,86,84,64.12,57,45,10,5,dff404d9116393b3002283b0202525a,1.202,,,,https://www.glocify.com/services/maintenance-and-support
https://www.glocify.com/assets/img/services/python.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,1746,0,0,1,,0,0,0,0,0,0,0,,0.28,"Tue, 31 Jul 2018 05:47:14 GMT",,,https://www.glocify.com/assets/img/services/python.png
https://www.glocify.com/assets/img/skye.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,21855,0,0,1,,0,0,0,0,0,0,0,,1.396,"Mon, 23 Sep 2019 08:28:43 GMT",,,https://www.glocify.com/assets/img/skye.jpg
https://www.glocify.com/services/window-phone,text/html; charset=UTF-8,200,OK,Indexable,,Windows Phone Development Services - Glocify Technologies,57,543,The professional team of Glocify Technologies offer best Window Phone Development Services from basic touch screen window app to latest mobile applications.,156,1014,,0,Window Mobile App Development Services,38,,0,Top,3,Window Mobile Application Development,37,,,,,,,,,40812,627,11.276924,1,,15,2,1.53,70,46,10,5,e492253b01b684425dea9ca1710e85d0,1.191,,,,https://www.glocify.com/services/window-phone
https://www.glocify.com/services/html,text/html; charset=UTF-8,200,OK,Indexable,,HTML and Web Designing Services - Glocify Technologies,54,511,"Our team consists of the best business analysts, mobile strategist, and developers that will provide you with the user-friendly mobile and web solutions.",153,947,,0,HTML5 Designing Company,23,,0,Top,3,HTML5 Web & App Designing Services,34,,,,,,,,,40529,591,10.689961,1,,14,2,1.53,69,46,10,5,f49fa112aaa1843c8d6fc283757901c7,1.12,,,,https://www.glocify.com/services/html
